,building_id,site_id,primaryspaceusage,sub_primaryspaceusage,sqm,sqft,lat,lng,timezone,electricity,yearbuilt,sqft_bin
3,Panther_education_Rosalie,Panther,Education,Research,690.5,7432.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2008.0,5001_10000
4,Panther_education_Misty,Panther,Education,Research,252.7,2720.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2004.0,1001_5000
6,Panther_education_Mattie,Panther,Education,Classroom,499.4,5376.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,1991.0,5001_10000
8,Panther_education_Diann,Panther,Education,Classroom,2200.4,23685.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2002.0,10001_25000
10,Panther_education_Tina,Panther,Education,Research,743.2,8000.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2000.0,5001_10000
11,Panther_lodging_Russell,Panther,Lodging/residential,Residence Hall,2594.4,27926.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,1981.0,25001_50000
14,Panther_education_Vincent,Panther,Education,Classroom,11248.1,121074.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,1989.0,100001_200000
15,Panther_education_Shelton,Panther,Education,Classroom,5649.3,60809.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2003.0,50001_100000
16,Panther_office_Karla,Panther,Office,Office,2508.4,27000.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2010.0,25001_50000
17,Panther_assembly_Denice,Panther,Entertainment/public assembly,Stadium,34445.9,370773.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,1991.0,200001_500000
20,Panther_lodging_Willa,Panther,Lodging/residential,Residence Hall,3446.7,37100.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,1999.0,25001_50000
21,Panther_education_Annetta,Panther,Education,Classroom,9232.7,99380.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2000.0,50001_100000
22,Panther_education_Aurora,Panther,Education,Classroom,8012.9,86250.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2013.0,50001_100000
24,Panther_education_Karri,Panther,Education,Classroom,5076.6,54644.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,1996.0,50001_100000
27,Panther_education_Hugh,Panther,Education,Research,10395.0,111891.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,1996.0,100001_200000
29,Panther_office_Larry,Panther,Office,Office,1738.9,18717.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2004.0,10001_25000
32,Panther_office_Jeane,Panther,Office,Office,654.3,7043.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,1990.0,5001_10000
33,Panther_education_Jonathan,Panther,Education,Research,331.6,3569.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,1996.0,1001_5000
34,Panther_education_Genevieve,Panther,Education,Classroom,12159.6,130885.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,1985.0,100001_200000
35,Panther_education_Alecia,Panther,Education,Classroom,9805.4,105545.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2001.0,100001_200000
37,Panther_office_Catherine,Panther,Office,Office,2504.0,26953.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2005.0,25001_50000
38,Panther_lodging_Awilda,Panther,Lodging/residential,Residence Hall,5499.9,59200.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,1999.0,50001_100000
40,Panther_office_Garth,Panther,Office,Office,4919.9,52957.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2016.0,50001_100000
41,Panther_education_Quintin,Panther,Education,Classroom,10578.5,113866.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2006.0,100001_200000
42,Panther_education_Teofila,Panther,Education,Classroom,8723.3,93897.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,1999.0,50001_100000
43,Panther_education_Ivan,Panther,Education,Classroom,5751.1,61904.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2001.0,50001_100000
44,Panther_office_Shauna,Panther,Office,Office,4495.8,48392.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2005.0,25001_50000
45,Panther_lodging_Hattie,Panther,Lodging/residential,Residence Hall,3594.0,38686.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2002.0,25001_50000
46,Panther_lodging_Jana,Panther,Lodging/residential,Residence Hall,3969.8,42731.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2002.0,25001_50000
47,Panther_lodging_Teresita,Panther,Lodging/residential,Residence Hall,3866.3,41617.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2002.0,25001_50000
48,Panther_lodging_Cornelia,Panther,Lodging/residential,Residence Hall,4935.9,53130.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2002.0,50001_100000
49,Panther_lodging_Tracie,Panther,Lodging/residential,Residence Hall,4935.9,53130.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2002.0,50001_100000
51,Panther_office_Lois,Panther,Office,Office,1186.3,12769.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2013.0,10001_25000
53,Panther_assembly_David,Panther,Entertainment/public assembly,Stadium,2503.2,26944.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2001.0,25001_50000
61,Panther_retail_Rachel,Panther,Retail,Retail,26.3,283.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,1985.0,
62,Panther_retail_Gilbert,Panther,Retail,Retail,1421.8,15304.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2016.0,10001_25000
63,Panther_retail_Lester,Panther,Retail,Retail,840.3,9045.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2016.0,5001_10000
64,Panther_retail_Felix,Panther,Retail,Retail,2941.9,31666.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2008.0,25001_50000
65,Panther_other_Tyrone,Panther,Other,Other,889.0,9569.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,1989.0,5001_10000
72,Panther_other_Bettie,Panther,Other,Other,436.5,4698.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,1981.0,1001_5000
73,Panther_parking_Asia,Panther,Parking,Parking Garage,36012.7,387638.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2014.0,200001_500000
76,Panther_education_Violet,Panther,Education,Research,730.9,7867.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2011.0,5001_10000
77,Panther_office_Christian,Panther,Office,Office,1553.9,16726.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2011.0,10001_25000
78,Panther_lodging_Alita,Panther,Lodging/residential,Residence Hall	,5582.4,60088.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2013.0,50001_100000
79,Panther_lodging_Edison,Panther,Lodging/residential,Residence Hall,6072.0,65359.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2013.0,50001_100000
80,Panther_lodging_Sonja,Panther,Lodging/residential,Residence Hall,7746.2,83379.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2013.0,50001_100000
81,Panther_assembly_Pamella,Panther,Entertainment/public assembly,Stadium,7556.5,81337.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2005.0,50001_100000
82,Panther_education_Neal,Panther,Education,Classroom,7578.7,81576.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,1997.0,50001_100000
83,Panther_lodging_Blaine,Panther,Lodging/residential,Residence Hall,3594.0,38686.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2001.0,25001_50000
84,Panther_lodging_Floyd,Panther,Lodging/residential,Residence Hall,3969.8,42731.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2001.0,25001_50000
85,Panther_lodging_Jorge,Panther,Lodging/residential,Residence Hall,3866.3,41617.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2001.0,25001_50000
86,Panther_lodging_Edmond,Panther,Lodging/residential,Residence Hall,4935.9,53130.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2001.0,50001_100000
87,Panther_lodging_Kaitlin,Panther,Lodging/residential,Residence Hall,4935.9,53130.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2001.0,50001_100000
89,Panther_lodging_Fausto,Panther,Lodging/residential,Residence Hall,3459.8,37241.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,1981.0,25001_50000
91,Panther_parking_Charlene,Panther,Parking,Parking Garage,45284.0,487433.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2007.0,200001_500000
92,Panther_parking_Jody,Panther,Parking,Parking Garage,36012.7,387638.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2000.0,200001_500000
93,Panther_parking_Mellissa,Panther,Parking,Parking Garage,36012.7,387638.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2007.0,200001_500000
95,Panther_parking_Stanley,Panther,Parking,Parking Garage,36012.7,387638.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,1998.0,200001_500000
96,Panther_parking_Adela,Panther,Parking,Parking Garage,36012.7,387638.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2002.0,200001_500000
97,Panther_parking_Lorriane,Panther,Parking,Parking Garage,36012.7,387638.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2008.0,200001_500000
98,Panther_parking_Alaina,Panther,Parking,Parking Garage,36012.7,387638.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,1997.0,200001_500000
99,Panther_education_Zelda,Panther,Education,Classroom,7519.8,80942.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2010.0,50001_100000
100,Panther_education_Jerome,Panther,Education,Research,11974.0,128887.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2009.0,100001_200000
104,Panther_education_Enriqueta,Panther,Education,Classroom,7084.5,76257.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2007.0,50001_100000
105,Panther_office_Lauretta,Panther,Office,Office,3366.8,36240.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2010.0,25001_50000
106,Panther_office_Patti,Panther,Office,Office,14503.2,156111.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2001.0,100001_200000
110,Panther_other_Lula,Panther,Other,Other,192.3,2070.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,1996.0,1001_5000
111,Panther_office_Hannah,Panther,Office,Office,375.1,4038.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,1986.0,1001_5000
112,Panther_lodging_Else,Panther,Lodging/residential,Residence Hall,3459.8,37241.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,1981.0,25001_50000
113,Panther_education_Janis,Panther,Education,Research,1015.6,10932.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,1986.0,10001_25000
114,Panther_assembly_Carrol,Panther,Entertainment/public assembly,Stadium,595.7,6412.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2006.0,5001_10000
115,Panther_assembly_Gwyneth,Panther,Entertainment/public assembly,Stadium,7109.6,76527.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2007.0,50001_100000
117,Panther_retail_Romeo,Panther,Retail,Retail,15027.5,161755.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,1996.0,100001_200000
118,Panther_lodging_Gale,Panther,Lodging/residential,Residence Hall,5499.9,59200.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,1999.0,50001_100000
119,Panther_education_Emily,Panther,Education,Classroom,6326.1,68094.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2003.0,50001_100000
121,Panther_office_Clementine,Panther,Office,Office,3100.2,33370.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,1982.0,25001_50000
124,Panther_lodging_Kara,Panther,Lodging/residential,Residence Hall,18667.3,200933.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2006.0,200001_500000
125,Panther_lodging_Kirk,Panther,Lodging/residential,Residence Hall,18667.3,200933.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2006.0,200001_500000
126,Panther_lodging_Cora,Panther,Lodging/residential,Residence Hall,17433.0,187647.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2007.0,100001_200000
127,Panther_lodging_Marisol,Panther,Lodging/residential,Residence Hall,18667.3,200933.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2007.0,200001_500000
128,Panther_office_Danica,Panther,Office,Office,210.0,2260.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2016.0,1001_5000
131,Panther_office_Antonette,Panther,Office,Office,1752.2,18860.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,1986.0,10001_25000
132,Panther_office_Christin,Panther,Office,Office,1474.9,15876.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,1983.0,10001_25000
133,Panther_education_Cleopatra,Panther,Education,Classroom,2012.0,21657.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2016.0,10001_25000
134,Panther_office_Ruthie,Panther,Office,Office,4211.3,45330.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,2003.0,25001_50000
138,Robin_education_Lashandra,Robin,Education,College Classroom,9061.0,97532.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,2005.0,50001_100000
141,Robin_education_Audrea,Robin,Education,College Laboratory,2584.0,27814.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,2006.0,25001_50000
148,Robin_education_Cecilia,Robin,Education,College Laboratory,1439.0,15489.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,2004.0,10001_25000
150,Robin_education_Margarito,Robin,Education,College Laboratory,8468.0,91149.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,2007.0,50001_100000
153,Robin_education_Terrance,Robin,Education,College Laboratory,7714.9,83043.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,1991.0,50001_100000
154,Robin_education_Kristopher,Robin,Education,College Laboratory,5686.0,61204.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,1989.0,50001_100000
156,Robin_education_Takako,Robin,Education,College Laboratory,1561.0,16802.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,1995.0,10001_25000
157,Robin_education_Lizbeth,Robin,Education,College Laboratory,2001.0,21539.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,2004.0,10001_25000
163,Robin_lodging_Celia,Robin,Lodging/residential,Dormitory,7721.0,83108.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,1995.0,50001_100000
165,Robin_lodging_Pricilla,Robin,Lodging/residential,Dormitory,4607.0,49589.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,1998.0,25001_50000
182,Robin_office_Serena,Robin,Office,Office,2833.1,30495.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,1997.0,25001_50000
188,Fox_public_Denny,Fox,Public services,Police Station,4058.1,43681.0,33.42442530000004,-111.9281403999998,US/Mountain,Yes,2007.0,25001_50000
199,Fox_lodging_Helen,Fox,Lodging/residential,Dormitory,51394.9,553210.0,33.42442530000004,-111.9281403999998,US/Mountain,Yes,2009.0,
201,Fox_education_Andre,Fox,Education,College Laboratory,17044.0,183460.0,33.42442530000004,-111.9281403999998,US/Mountain,Yes,2005.0,100001_200000
202,Fox_education_Yolande,Fox,Education,College Laboratory,16681.6,179559.0,33.42442530000004,-111.9281403999998,US/Mountain,Yes,2006.0,100001_200000
203,Fox_retail_Manie,Fox,Retail,Retail,4201.4,45224.0,33.42442530000004,-111.9281403999998,US/Mountain,Yes,1982.0,25001_50000
205,Fox_office_Israel,Fox,Office,Office,11282.1,121440.0,33.42442530000004,-111.9281403999998,US/Mountain,Yes,1983.0,100001_200000
208,Fox_education_Nilda,Fox,Education,College Classroom,10371.2,111635.0,33.42442530000004,-111.9281403999998,US/Mountain,Yes,1989.0,100001_200000
210,Fox_assembly_Boyce,Fox,Entertainment/public assembly,Fitness Center,15520.9,167066.0,33.42442530000004,-111.9281403999998,US/Mountain,Yes,1989.0,100001_200000
212,Fox_food_Francesco,Fox,Food sales and service,Restaurant,2310.2,24867.0,33.42442530000004,-111.9281403999998,US/Mountain,Yes,2012.0,10001_25000
214,Fox_education_Elvira,Fox,Education,Student Union,13826.7,148829.0,33.42442530000004,-111.9281403999998,US/Mountain,Yes,2014.0,100001_200000
216,Fox_education_Leota,Fox,Education,College Laboratory,12311.3,132518.0,33.42442530000004,-111.9281403999998,US/Mountain,Yes,1992.0,100001_200000
219,Fox_education_Maureen,Fox,Education,College Classroom,22757.9,244964.0,33.42442530000004,-111.9281403999998,US/Mountain,Yes,2008.0,200001_500000
226,Fox_education_Gloria,Fox,Education,College Laboratory,14087.5,151637.0,33.42442530000004,-111.9281403999998,US/Mountain,Yes,1983.0,100001_200000
227,Fox_office_Molly,Fox,Office,Office,576.3,6203.0,33.42442530000004,-111.9281403999998,US/Mountain,Yes,1999.0,5001_10000
232,Fox_office_Yong,Fox,Office,Office,15232.3,163959.0,33.42442530000004,-111.9281403999998,US/Mountain,Yes,2004.0,100001_200000
233,Fox_parking_Tommie,Fox,Parking,Parking Garage,37633.4,405083.0,33.42442530000004,-111.9281403999998,US/Mountain,Yes,2004.0,200001_500000
235,Fox_education_Wendell,Fox,Education,College Laboratory,20402.2,219608.0,33.42442530000004,-111.9281403999998,US/Mountain,Yes,1992.0,200001_500000
236,Fox_lodging_Alana,Fox,Lodging/residential,Dormitory,6938.2,74682.0,33.42442530000004,-111.9281403999998,US/Mountain,Yes,2006.0,50001_100000
237,Fox_lodging_Wallace,Fox,Lodging/residential,Dormitory,5885.2,63348.0,33.42442530000004,-111.9281403999998,US/Mountain,Yes,2007.0,50001_100000
239,Fox_lodging_Winifred,Fox,Lodging/residential,Dormitory,5582.2,60086.0,33.42442530000004,-111.9281403999998,US/Mountain,Yes,2001.0,50001_100000
243,Fox_education_Claude,Fox,Education,College Laboratory,17957.6,193294.0,33.42442530000004,-111.9281403999998,US/Mountain,Yes,2006.0,100001_200000
244,Fox_education_Jaclyn,Fox,Education,College Laboratory,6619.2,71248.0,33.42442530000004,-111.9281403999998,US/Mountain,Yes,2004.0,50001_100000
246,Fox_education_Otilia,Fox,Education,College Laboratory,30403.1,327256.0,33.42442530000004,-111.9281403999998,US/Mountain,Yes,2012.0,200001_500000
