bldg_id,in.cluster_id,in.cluster_name,in.nhgis_tract_gisjoin,in.energy_code_followed_during_last_hvac_replacement,in.interior_lighting_generation,in.floor_area_category,in.service_water_heating_fuel,out.utility_bills.electricity_bill_mean..usd,out.utility_bills.fuel_oil_bill..usd,out.utility_bills.natural_gas_bill..usd,out.utility_bills.propane_bill..usd,weight,in.comstock_building_type_group,in.hvac_category,in.vintage,calc.segment,calc.weighted.sqft,calc.weighted.district_cooling.total.energy_consumption..tbtu,calc.weighted.district_heating.total.energy_consumption..tbtu,calc.weighted.electricity.total.energy_consumption..tbtu,calc.weighted.natural_gas.total.energy_consumption..tbtu,calc.weighted.other_fuel.total.energy_consumption..tbtu,calc.weighted.site_energy.total.energy_consumption..tbtu,calc.weighted.enduse_group.site_energy.hvac.energy_consumption..tbtu,calc.weighted.enduse_group.site_energy.lighting.energy_consumption..tbtu,calc.weighted.enduse_group.site_energy.interior_equipment.energy_consumption..tbtu,calc.weighted.enduse_group.site_energy.refrigeration.energy_consumption..tbtu,calc.weighted.enduse_group.site_energy.water_systems.energy_consumption..tbtu,calc.weighted.enduse_group.electricity.hvac.energy_consumption..tbtu,calc.weighted.enduse_group.electricity.lighting.energy_consumption..tbtu,calc.weighted.enduse_group.electricity.interior_equipment.energy_consumption..tbtu,calc.weighted.enduse_group.electricity.refrigeration.energy_consumption..tbtu,calc.weighted.enduse_group.electricity.water_systems.energy_consumption..tbtu,calc.weighted.enduse_group.natural_gas.hvac.energy_consumption..tbtu,calc.weighted.enduse_group.natural_gas.interior_equipment.energy_consumption..tbtu,calc.weighted.enduse_group.natural_gas.water_systems.energy_consumption..tbtu,calc.weighted.enduse_group.district_heating.hvac.energy_consumption..tbtu,calc.weighted.enduse_group.district_heating.interior_equipment.energy_consumption..tbtu,calc.weighted.enduse_group.district_heating.water_systems.energy_consumption..tbtu,calc.weighted.enduse_group.district_cooling.hvac.energy_consumption..tbtu,calc.weighted.enduse_group.other_fuel.hvac.energy_consumption..tbtu,calc.weighted.enduse_group.other_fuel.water_systems.energy_consumption..tbtu,calc.weighted.enduse_group.other_fuel.interior_equipment.energy_consumption..tbtu,calc.weighted.emissions.natural_gas..co2e_mmt,calc.weighted.emissions.fuel_oil..co2e_mmt,calc.weighted.emissions.propane..co2e_mmt,calc.weighted.emissions.electricity.egrid_2021_subregion..co2e_mmt,calc.weighted.emissions.total_with_cambium_mid_case_15y..co2e_mmt,calc.weighted.emissions.total_with_egrid..co2e_mmt,calc.weighted.enduse_group.electricity.hvac.emissions.egrid_2021_subregion..co2e_mmt,calc.weighted.enduse_group.electricity.lighting.emissions.egrid_2021_subregion..co2e_mmt,calc.weighted.enduse_group.electricity.interior_equipment.emissions.egrid_2021_subregion..co2e_mmt,calc.weighted.enduse_group.electricity.refrigeration.emissions.egrid_2021_subregion..co2e_mmt,calc.weighted.enduse_group.electricity.water_systems.emissions.egrid_2021_subregion..co2e_mmt,calc.weighted.enduse_group.natural_gas.hvac.emissions..co2e_mmt,calc.weighted.enduse_group.natural_gas.interior_equipment.emissions..co2e_mmt,calc.weighted.enduse_group.natural_gas.water_systems.emissions..co2e_mmt,calc.weighted.enduse_group.other_fuel.hvac.emissions..co2e_mmt,calc.weighted.enduse_group.other_fuel.water_systems.emissions..co2e_mmt,calc.weighted.enduse_group.other_fuel.interior_equipment.emissions..co2e_mmt,calc.weighted.enduse_group.site_energy.hvac.emissions..co2e_mmt,calc.weighted.enduse_group.site_energy.lighting.emissions..co2e_mmt,calc.weighted.enduse_group.site_energy.interior_equipment.emissions..co2e_mmt,calc.weighted.enduse_group.site_energy.refrigeration.emissions..co2e_mmt,calc.weighted.enduse_group.site_energy.water_systems.emissions..co2e_mmt
100206,50,the Greater Atlanta and Macon Area,G1301510070104,ComStock 90.1-2007,gen5_led,10001_25000,Electricity,46024,,714,,4.088175128,Healthcare,Multizone CAV/VAV,1990 to 1999,F: Buildings with Electric Resistance Multizone Systems,71543.06474,0,0,0.005022571,0.000265388,0,0.00528792,0.00285882,0.000466841,0.001855778,0,0.000106558,0.00285882,0.000466841,0.00159039,0,0.000106558,0,0.000265388,0,0,0,0,0,0,0,0,1.77E-05,0,0,0.000598528,0.00020853,0.000616259,0.000340679,5.56E-05,0.000189523,0,1.27E-05,0,1.77E-05,0,0,0,0,0.000333169,5.44E-05,0.000216274,0,1.24E-05
93740,50,the Greater Atlanta and Macon Area,G1300570090902,ComStock 90.1-2007,gen5_led,5001_10000,Electricity,8838,,,,8.72605822,Office,Small Packaged Unit,1990 to 1999,A: Non Food-Service Buildings with Small Packaged Units,65445.43665,0,0,0.002131444,0,0,0.002131444,0.00083377,0.000379377,0.00084692,0,7.14E-05,0.00083377,0.000379377,0.00084692,0,7.14E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000253997,7.00E-05,0.000253997,9.94E-05,4.52E-05,0.000100925,0,8.51E-06,0,0,0,0,0,0,9.94E-05,4.52E-05,0.000100925,0,8.51E-06
93774,50,the Greater Atlanta and Macon Area,G1300630040202,ComStock 90.1-2007,gen5_led,50001_100000,Electricity,50593,,2967,,3.237924874,Warehouse and Storage,Small Packaged Unit,1990 to 1999,A: Non Food-Service Buildings with Small Packaged Units,242844.3655,0,0,0.00426874,0.000873242,0,0.005142013,0.001876854,0.001170256,0.002094873,0,0,0.001003612,0.001170256,0.002094873,0,0,0.000873242,0,0,0,0,0,0,0,0,0,5.83E-05,0,0,0.000508699,0.000202513,0.000567044,0.000119599,0.000139457,0.000249642,0,0,5.83E-05,0,0,0,0,0,0.000206973,0.000129052,0.000231016,0,0
93936,50,the Greater Atlanta and Macon Area,G1300970080301,ComStock 90.1-2007,gen5_led,50001_100000,Electricity,55787,,,,3.237924874,Warehouse and Storage,Zone-by-Zone,1980 to 1989,I: Non-Lodging Buildings with Zone-by-Zone Systems,242844.3655,0,0,0.005403703,0,0,0.005403703,0.001777757,0.001261987,0.002363959,0,0,0.001777757,0.001261987,0.002363959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000643949,0.000204882,0.000643949,0.000211852,0.000150389,0.000281708,0,0,0,0,0,0,0,0,0.000211852,0.000150389,0.000281708,0,0
93966,50,the Greater Atlanta and Macon Area,G1300890022007,ComStock 90.1-2007,gen5_led,25001_50000,Electricity,128925,,6345,,1.870652159,Mercantile,Small Packaged Unit,2000 to 2012,C: Strip Malls with some Food-Service with Small Packaged Units,70149.45594,0,0,0.006430146,0.001078963,0,0.007509109,0.003616497,0.001000666,0.001378713,0,0.001513251,0.002839801,0.001000666,0.001076446,0,0.001513251,0.000776696,0.000302267,0,0,0,0,0,0,0,0,7.21E-05,0,0,0.000766268,0.00027335,0.000838358,0.000338413,0.000119247,0.000128278,0,0.000180331,5.19E-05,2.02E-05,0,0,0,0,0.000403765,0.00011172,0.000153927,0,0.000168948
94002,33,Rural Lower Plains-Upper South Appalachia,G1301870960201,ComStock 90.1-2007,gen5_led,25001_50000,Electricity,28694,,,,3.237924874,Warehouse and Storage,Small Packaged Unit,1980 to 1989,A: Non Food-Service Buildings with Small Packaged Units,121422.1828,0,0,0.002861867,0,0,0.002861867,0.000968871,0.000711017,0.001181979,0,0,0.000968871,0.000711017,0.001181979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000341045,0.000121986,0.000341045,0.000115459,8.47E-05,0.000140855,0,0,0,0,0,0,0,0,0.000115459,8.47E-05,0.000140855,0,0
94058,33,Rural Lower Plains-Upper South Appalachia,G1301370000500,ComStock 90.1-2007,gen5_led,50001_100000,Electricity,136550,,12015,,1.870652159,Mercantile,Multizone CAV/VAV,1980 to 1989,D: Buildings with Hydronically Heated Multizone Systems,140298.9119,0,0,0.007028936,0.002043194,0,0.009072147,0.003588111,0.001883886,0.001659916,0,0.001940198,0.002344007,0.001883886,0.000860827,0,0.001940198,0.001244104,0.00079909,0,0,0,0,0,0,0,0,0.000136515,0,0,0.000837626,0.000322454,0.00097414,0.000279331,0.000224499,0.000102583,0,0.00023121,8.31E-05,5.34E-05,0,0,0,0,0.000385281,0.000202286,0.000178237,0,0.000208333
94187,84,Rural Climate Zone 2A - Georgia and Florida,G1300190970600,ComStock 90.1-2007,gen5_led,1001_5000,Propane,6544,,,519,3.204584385,Mercantile,Small Packaged Unit,1990 to 1999,A: Non Food-Service Buildings with Small Packaged Units,9613.753156,0,0,0.00046991,0,4.89E-05,0.000518781,0.000319743,0.000161618,3.74E-05,0,0,0.000270872,0.000161618,3.74E-05,0,0,0,0,0,0,0,0,0,4.89E-05,0,0,0,0,3.94E-06,5.60E-05,1.81E-05,5.99E-05,3.23E-05,1.93E-05,4.46E-06,0,0,0,0,0,3.94E-06,0,0,3.69E-05,1.87E-05,4.32E-06,0,0
94423,50,the Greater Atlanta and Macon Area,G1301510070108,ComStock 90.1-2007,gen5_led,50001_100000,Electricity,115312,,8292,,3.204584385,Mercantile,Small Packaged Unit,2013 to 2018,A: Non Food-Service Buildings with Small Packaged Units,240343.8289,0,0,0.010168352,0.002415764,0,0.012584116,0.00872433,0.002465759,0.001394027,0,0,0.006308566,0.002465759,0.001394027,0,0,0.002415764,0,0,0,0,0,0,0,0,0,0.000161406,0,0,0.001211744,0.000471254,0.001373151,0.000751781,0.00029384,0.000166124,0,0,0.000161406,0,0,0,0,0,0.000951979,0.000269058,0.000152113,0,0
94505,50,the Greater Atlanta and Macon Area,G1301350050511,ComStock 90.1-2007,gen5_led,100001_200000,Electricity,139788,,14751,,3.237924874,Warehouse and Storage,Multizone CAV/VAV,2000 to 2012,D: Buildings with Hydronically Heated Multizone Systems,485688.7311,0,0,0.012049384,0.004341935,0,0.016391288,0.010688883,0.001781777,0.003920659,0,0,0.006346948,0.001781777,0.003920659,0,0,0.004341935,0,0,0,0,0,0,0,0,0,0.000290103,0,0,0.0014359,0.000661775,0.001726003,0.000756353,0.000212331,0.000467217,0,0,0.000290103,0,0,0,0,0,0.001125539,0.000187621,0.000412845,0,0
94559,50,the Greater Atlanta and Macon Area,G1300670030507,ComStock 90.1-2007,gen5_led,10001_25000,Electricity,30086,,,,8.72605822,Office,Zone-by-Zone,1990 to 1999,I: Non-Lodging Buildings with Zone-by-Zone Systems,152706.0189,0,0,0.00763287,0,0,0.00763287,0.002764897,0.00117138,0.003512239,0,0.000184354,0.002764897,0.00117138,0.003512239,0,0.000184354,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000909591,0.000300006,0.000909591,0.000329486,0.000139591,0.000418545,0,2.20E-05,0,0,0,0,0,0,0.000329486,0.000139591,0.000418545,0,2.20E-05
94630,46,the Tallahassee-Valdosta Area,G1301850011000,ComStock 90.1-2007,gen5_led,10001_25000,Electricity,32464,,,,1.870652159,Mercantile,Small Packaged Unit,2000 to 2012,A: Non Food-Service Buildings with Small Packaged Units,32736.41277,0,0,0.00159435,0,0,0.00159435,0.000833522,0.000550794,0.000176594,0,3.34E-05,0.000833522,0.000550794,0.000176594,0,3.34E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000189996,4.33E-05,0.000189996,9.93E-05,6.56E-05,2.10E-05,0,3.98E-06,0,0,0,0,0,0,9.93E-05,6.56E-05,2.10E-05,0,3.98E-06
94775,50,the Greater Atlanta and Macon Area,G1300670031114,ComStock 90.1-2007,gen5_led,50001_100000,Electricity,96374,,9220,,9.325022323,Office,Multizone CAV/VAV,1990 to 1999,D: Buildings with Hydronically Heated Multizone Systems,699376.6743,0,0,0.027103798,0.007816253,0,0.034920051,0.018134396,0.003727513,0.012486118,0,0.000572022,0.010318143,0.003727513,0.012486118,0,0.000572022,0.007816253,0,0,0,0,0,0,0,0,0,0.000522239,0,0,0.003229907,0.001660619,0.003752146,0.001229593,0.000444201,0.001487946,0,6.82E-05,0.000522239,0,0,0,0,0,0.001948534,0.00040052,0.001341629,0,6.15E-05
94778,50,the Greater Atlanta and Macon Area,G1301170130601,ComStock 90.1-2007,gen5_led,50001_100000,Electricity,113642,,7565,,1.870652159,Mercantile,Small Packaged Unit,2013 to 2018,C: Strip Malls with some Food-Service with Small Packaged Units,140298.9119,0,0,0.006312718,0.001286533,0,0.007599251,0.003507456,0.002100924,0.001133325,0,0.000857564,0.002810227,0.002100924,0.000544021,0,0.000857564,0.000697229,0.000589304,0,0,0,0,0,0,0,0,8.60E-05,0,0,0.000752275,0.000284811,0.000838234,0.00033489,0.000250363,6.48E-05,0,0.000102194,4.66E-05,3.94E-05,0,0,0,0,0.000386889,0.000231742,0.000125011,0,9.46E-05
94807,50,the Greater Atlanta and Macon Area,G1300670031206,ComStock 90.1-2007,gen5_led,100001_200000,Electricity,140502,,,,3.237924874,Warehouse and Storage,Small Packaged Unit,1990 to 1999,A: Non Food-Service Buildings with Small Packaged Units,485688.7311,0,0,0.012518536,0,0,0.012518536,0.004852057,0.002561846,0.005104633,0,0,0.004852057,0.002561846,0.005104633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00149181,0.000496604,0.00149181,0.000578211,0.00030529,0.000608309,0,0,0,0,0,0,0,0,0.000578211,0.00030529,0.000608309,0,0
94920,50,the Greater Atlanta and Macon Area,G1301510070304,ComStock 90.1-2007,gen5_led,5001_10000,Electricity,9495,,,,8.72605822,Office,Zone-by-Zone,2000 to 2012,I: Non-Lodging Buildings with Zone-by-Zone Systems,65445.43665,0,0,0.002279986,0,0,0.002279986,0.001211659,0.000421723,0.000567288,0,7.92E-05,0.001211659,0.000421723,0.000567288,0,7.92E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000271697,8.06E-05,0.000271697,0.000144389,5.03E-05,6.76E-05,0,9.44E-06,0,0,0,0,0,0,0.000144389,5.03E-05,6.76E-05,0,9.44E-06
94982,18,"the Knoxville-Chattanooga-Asheville and Greenville, SC Area",G1303130001300,ComStock 90.1-2007,gen5_led,10001_25000,Electricity,21069,,,,8.72605822,Office,Zone-by-Zone,1990 to 1999,I: Non-Lodging Buildings with Zone-by-Zone Systems,152706.0189,0,0,0.006196083,0,0,0.006196083,0.002683431,0.001140696,0.002171226,0,0.00020073,0.002683431,0.001140696,0.002171226,0,0.00020073,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000738379,0.000243598,0.000738379,0.000319781,0.000135935,0.000258742,0,2.39E-05,0,0,0,0,0,0,0.000319781,0.000135935,0.000258742,0,2.39E-05
95032,50,the Greater Atlanta and Macon Area,G1302190030100,ComStock 90.1-2007,gen5_led,1001_5000,Electricity,5571,,,,8.72605822,Office,Zone-by-Zone,2013 to 2018,I: Non-Lodging Buildings with Zone-by-Zone Systems,26178.17466,0,0,0.001000507,0,0,0.001000507,0.000385084,0.00016194,0.000408738,0,4.47E-05,0.000385084,0.00016194,0.000408738,0,4.47E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000119227,3.76E-05,0.000119227,4.59E-05,1.93E-05,4.87E-05,0,5.32E-06,0,0,0,0,0,0,4.59E-05,1.93E-05,4.87E-05,0,5.32E-06
95073,50,the Greater Atlanta and Macon Area,G1300670030344,ComStock 90.1-2007,gen5_led,50001_100000,Electricity,237990,,2449,,1.870652159,Mercantile,Small Packaged Unit,2000 to 2012,C: Strip Malls with some Food-Service with Small Packaged Units,140298.9119,0,0,0.011398264,0.000416398,0,0.011814662,0.004996239,0.002838879,0.002428528,0,0.001551034,0.004996239,0.002838879,0.00201213,0,0.001551034,0,0.000416398,0,0,0,0,0,0,0,0,2.78E-05,0,0,0.001358309,0.00039654,0.00138613,0.000595392,0.000338304,0.000239782,0,0.000184834,0,2.78E-05,0,0,0,0,0.000586173,0.000333065,0.000284922,0,0.000181972
95740,50,the Greater Atlanta and Macon Area,G1300670030700,ComStock 90.1-2007,gen5_led,5001_10000,Electricity,15744,,,,8.72605822,Office,Small Packaged Unit,2000 to 2012,A: Non Food-Service Buildings with Small Packaged Units,65445.43665,0,0,0.003908157,0,0,0.003908157,0.002577649,0.000628491,0.000621047,0,8.10E-05,0.002577649,0.000628491,0.000621047,0,8.10E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000465724,0.000157237,0.000465724,0.000307171,7.49E-05,7.40E-05,0,9.65E-06,0,0,0,0,0,0,0.000307171,7.49E-05,7.40E-05,0,9.65E-06
95833,35,Eastern Counties in South Carolina and Georgia,G1302450010506,ComStock 90.1-2007,gen5_led,1001_5000,Electricity,7283,,,,3.204584385,Mercantile,Multizone CAV/VAV,1990 to 1999,F: Buildings with Electric Resistance Multizone Systems,9613.753156,0,0,0.00051872,0,0,0.00051872,0.00033821,0.000140235,4.02E-05,0,0,0.00033821,0.000140235,4.02E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.18E-05,1.82E-05,6.18E-05,4.03E-05,1.67E-05,4.80E-06,0,0,0,0,0,0,0,0,4.03E-05,1.67E-05,4.80E-06,0,0
96218,35,Eastern Counties in South Carolina and Georgia,G1300510011400,ComStock 90.1-2007,gen5_led,10001_25000,Electricity,40988,,855,,3.204584385,Mercantile,Small Packaged Unit,1980 to 1989,A: Non Food-Service Buildings with Small Packaged Units,56080.22674,0,0,0.003507179,0.000249185,0,0.003756333,0.002568392,0.000801863,0.000386109,0,0,0.002319207,0.000801863,0.000386109,0,0,0.000249185,0,0,0,0,0,0,0,0,0,1.66E-05,0,0,0.000417943,0.000132701,0.000434591,0.000276375,9.56E-05,4.60E-05,0,0,1.66E-05,0,0,0,0,0,0.000297152,9.28E-05,4.47E-05,0,0
